,0,1,2,3
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
6,0.1,0.1,0.1,0.7
0,0.1,0.1,0.1,0.7
1,0.1,0.2,0.1,0.6
2,0.1,0.1,0.1,0.7
3,0.1,0.1,0.1,0.7
4,0.1,0.1,0.1,0.7
5,0.1,0.1,0.1,0.7
